id	country	sampling date d/m/Y
EPI_ISL_402119	China	30/12/2019
EPI_ISL_402121	China	30/12/2019
EPI_ISL_402123	China	24/12/2019
EPI_ISL_402124	China	30/12/2019
EPI_ISL_402125	China	31/12/2019
EPI_ISL_402127	China	30/12/2019
EPI_ISL_402128	China	30/12/2019
EPI_ISL_402129	China	30/12/2019
EPI_ISL_402130	China	30/12/2019
EPI_ISL_402132	China	30/12/2019
EPI_ISL_403928	China	01/01/2020
EPI_ISL_403929	China	30/12/2019
EPI_ISL_403930	China	30/12/2019
EPI_ISL_403932	China	14/01/2020
EPI_ISL_403933	China	15/01/2020
EPI_ISL_403934	China	15/01/2020
EPI_ISL_403935	China	15/01/2020
EPI_ISL_403936	China	17/01/2020
EPI_ISL_403937	China	18/01/2020
EPI_ISL_403962	Thailand	08/01/2020
EPI_ISL_403963	Thailand	13/01/2020
EPI_ISL_404227	China	16/01/2020
EPI_ISL_404228	China	17/01/2020
EPI_ISL_404253	USA	21/01/2020
EPI_ISL_404895	USA	19/01/2020
EPI_ISL_405839	China	11/01/2020
EPI_ISL_406030	China	10/01/2020
EPI_ISL_406031	Taiwan	23/01/2020
EPI_ISL_406034	USA	23/01/2020
EPI_ISL_406036	USA	22/01/2020
EPI_ISL_406223	USA	22/01/2020
EPI_ISL_406531	China	22/01/2020
EPI_ISL_406533	China	22/01/2020
EPI_ISL_406534	China	22/01/2020
EPI_ISL_406535	China	22/01/2020
EPI_ISL_406536	China	22/01/2020
EPI_ISL_406538	China	23/01/2020
EPI_ISL_406593	China	13/01/2020
EPI_ISL_406594	China	16/01/2020
EPI_ISL_406595	China	16/01/2020
EPI_ISL_406596	France	23/01/2020
EPI_ISL_406597	France	23/01/2020
EPI_ISL_406716	China	02/01/2020
EPI_ISL_406717	China	02/01/2020
EPI_ISL_406798	China	26/12/2019
EPI_ISL_406800	China	01/01/2020
EPI_ISL_406801	China	05/01/2020
EPI_ISL_406844	Australia	25/01/2020
EPI_ISL_406862	Germany	28/01/2020
EPI_ISL_406970	China	20/01/2020
EPI_ISL_406973	Singapore	23/01/2020
EPI_ISL_407071	United Kingdom	29/01/2020
EPI_ISL_407073	United Kingdom	29/01/2020
EPI_ISL_407079	Finland	29/01/2020
EPI_ISL_407084	Japan	25/01/2020
EPI_ISL_407193	South Korea	25/01/2020
EPI_ISL_407313	China	19/01/2020
EPI_ISL_407893	Australia	24/01/2020
EPI_ISL_407894	Australia	28/01/2020
EPI_ISL_407896	Australia	30/01/2020
EPI_ISL_407976	Belgium	03/02/2020
EPI_ISL_407987	Singapore	25/01/2020
EPI_ISL_407988	Singapore	01/02/2020
EPI_ISL_408008	USA	29/01/2020
EPI_ISL_408009	USA	29/01/2020
EPI_ISL_408010	USA	29/01/2020
EPI_ISL_408430	France	29/01/2020
EPI_ISL_408431	France	29/01/2020
EPI_ISL_408478	China	21/01/2020
EPI_ISL_408479	China	23/01/2020
