country	cases	sampled_cases	subsampled_cases
Algeria	6253	3	2
Argentina	6866	3	2
Australia	6975	1049	2
Austria	15964	21	4
Belarus	25825	2	2
Belgium	53981	387	15
Brazil	188974	48	48
Cambodia	122	1	0
Canada	72278	141	20
Chile	34381	7	7
China	84024	427	23
Colombia	12930	2	2
Croatia	2213	7	0
Czech Republic	8269	26	2
Democratic Republic of the Congo	1242	42	0
Denmark	10667	321	3
Ecuador	30486	4	4
Estonia	1751	4	0
Finland	6054	40	2
France	140734	223	39
Gambia	23	3	0
Georgia	647	13	0
Germany	172239	86	47
Ghana	5408	6	1
Greece	2760	4	1
Hungary	3380	3	1
Iceland	1802	570	0
India	78003	35	21
Iran	112725	1	1
Ireland	23401	13	6
Israel	16548	2	2
Italy	222104	46	46
Japan	16079	31	4
Jordan	582	23	0
Kuwait	11028	7	3
Latvia	951	10	0
Lithuania	1505	1	0
Luxembourg	3904	199	1
Malaysia	6779	8	2
Mexico	40186	14	11
Nepal	219	1	0
Netherlands	43211	551	12
New Zealand	1147	8	0
Nigeria	4971	1	1
Norway	8158	26	2
Pakistan	35788	2	2
Peru	76306	1	1
Poland	17204	15	5
Portugal	28132	100	8
Qatar	26539	10	7
Russia	242271	151	67
Saudi Arabia	44830	3	3
Senegal	2105	22	1
Singapore	25346	74	7
Slovakia	1469	4	0
Slovenia	1463	4	0
South Africa	12074	6	3
South Korea	10991	35	3
Spain	228691	182	63
Sri Lanka	915	4	0
Sweden	27909	52	8
Switzerland	30330	72	8
Taiwan	440	68	0
Thailand	3017	27	1
Turkey	143114	29	29
USA	1390746	2626	382
United Kingdom	229705	3243	63
Uruguay	719	9	0
Vietnam	288	8	0
